nm,abs,blue,bluegreen,green,orange,white,yellow,red
550.1,0.05803851,14.52,167.834,1122,94,1327,37.707,11
550.44,0.05732199,16,158,1167.501,103.576,1338.087,36,16.854
550.78,0.05660546,21.52,170.834,1229,108,1304,35.707,14
551.12,0.05588894,15,164,1287.501,107.576,1292.087,41,14.854
551.46,0.05373936,16.52,155.834,1369,115,1318,41.707,21
551.81,0.05302284,21,157,1424.501,128.576,1308.087,52,20.854
552.15,0.05230631,28.52,148.834,1479,128,1300,45.707,19
552.49,0.05158979,21,154,1571.501,124.576,1300.087,47,19.854
552.83,0.05015674,19.52,143.834,1656,134,1311,45.707,15
553.17,0.04944021,16,139,1725.501,153.576,1320.087,47,14.854
553.51,0.04872369,16.52,131.834,1805,154,1303,51.707,10
553.85,0.04800717,19,132,1891.501,153.576,1300.087,51,11.854
554.19,0.04729064,18.52,131.834,2002,164,1299,53.707,14
554.53,0.04657412,19,139,2058.501,187.576,1282.087,54,16.854
554.87,0.04514107,15.52,125.834,2138,182,1282,57.707,7
555.21,0.04442454,21,130,2232.501,203.576,1275.087,67,8.854
555.55,0.04370802,19.52,127.834,2300,215,1276,63.707,9
555.89,0.04299149,11,115,2389.501,217.576,1266.087,67,21.854
556.23,0.04227497,12.52,115.834,2448,239,1269,69.707,16
556.56,0.04155844,15,116,2504.501,250.576,1257.087,75,13.854
556.9,0.04084192,15.52,111.834,2566,263,1253,68.707,5
557.24,0.04084192,18,108,2630.501,279.576,1257.087,71,10.854
557.58,0.03940887,17.52,102.834,2684,288,1267,82.707,11
557.92,0.03869234,16,97,2707.501,290.576,1244.087,81,12.854
558.26,0.03869234,11.52,104.834,2749,327,1258,85.707,20
558.6,0.03797582,20,94,2807.501,346.576,1250.087,99,17.854
558.94,0.03654277,11.52,94.834,2805,349,1239,96.707,14
559.28,0.03654277,19,92,2850.501,378.576,1235.087,100,16.854
559.62,0.03582624,8.52,92.834,2850,404,1219,98.707,13
559.96,0.03582624,11,91,2886.501,420.576,1239.087,112,22.854
560.3,0.03510972,13.52,92.834,2904,445,1242,108.707,20
560.64,0.03439319,20,92,2907.501,457.576,1227.087,112,14.854
560.98,0.03439319,21.52,83.834,2866,493,1230,120.707,17
561.32,0.03296014,16,83,2915.501,510.576,1214.087,124,9.854
561.66,0.03224362,14.52,83.834,2914,539,1211,136.707,7
561.99,0.03224362,18,84,2933.501,579.576,1204.087,139,10.854
562.33,0.03152709,12.52,78.834,2918,614,1200,144.707,10
562.67,0.03081057,10,76,2918.501,653.576,1210.087,145,5.854
563.01,0.03009404,8.52,77.834,2863,686,1203,159.707,10
563.35,0.03009404,11,69,2864.501,717.576,1203.087,164,18.854
563.69,0.03009404,10.52,72.834,2843,767,1196,168.707,16
564.03,0.02937752,15,71,2857.501,798.576,1199.087,176,12.854
564.37,0.02866099,6.52,70.834,2850,831,1199,174.707,15
564.71,0.02866099,11,74,2847.501,885.576,1207.087,190,11.854
565.04,0.02794447,14.52,70.834,2818,936,1203,191.707,17
565.38,0.02794447,14,67,2787.501,1004.576,1193.087,226,18.854
565.72,0.02722794,10.52,61.834,2777,1032,1180,220.707,18
566.06,0.02651142,11,60,2793.501,1093.576,1168.087,227,17.854
566.4,0.02651142,11.52,60.834,2762,1145,1175,238.707,19
566.74,0.02651142,11,62,2772.501,1213.576,1170.087,255,15.854
567.08,0.02507837,16.52,54.834,2754,1258,1160,249.707,14
567.41,0.02507837,12,60,2762.501,1337.576,1180.087,285,17.854
567.75,0.02436185,9.52,58.834,2745,1376,1161,285.707,15
568.09,0.02436185,12,51,2731.501,1457.576,1164.087,297,24.854
568.43,0.02436185,14.52,56.834,2725,1526,1151,303.707,19
568.77,0.02364532,12,63,2688.501,1572.576,1151.087,309,16.854
569.11,0.0229288,16.52,53.834,2642,1649,1160,330.707,18
569.44,0.0229288,15,63,2624.501,1726.576,1142.087,359,27.854
569.78,0.02364532,8.52,54.834,2621,1788,1143,372.707,20
570.12,0.0229288,12,54,2595.501,1859.576,1148.087,403,24.854
570.46,0.0229288,8.52,50.834,2558,1959,1147,397.707,19
570.8,0.02221227,11,41,2531.501,2023.576,1139.087,415,19.854
571.13,0.02221227,11.52,47.834,2466,2085,1130,443.707,18
571.47,0.02149575,18,50,2429.501,2129.576,1125.087,455,24.854
571.81,0.02149575,16.52,43.834,2372,2192,1113,465.707,22
572.15,0.02077922,14,43,2343.501,2271.576,1113.087,504,21.854
572.49,0.02077922,14.52,45.834,2294,2320,1106,516.707,21
572.82,0.0200627,14,44,2247.501,2404.576,1114.087,562,19.854
573.16,0.0200627,13.52,47.834,2196,2475,1099,567.707,26
573.5,0.0200627,14,44,2160.501,2519.576,1113.087,588,16.854
573.84,0.01934617,16.52,47.834,2113,2603,1103,621.707,18
574.17,0.01934617,14,46,2068.501,2652.576,1101.087,643,19.854
574.51,0.01862965,12.52,47.834,2009,2696,1097,687.707,35
574.85,0.01862965,8,39,1989.501,2761.576,1089.087,715,21.854
575.19,0.01862965,11.52,38.834,1922,2807,1086,745.707,27
575.52,0.01791312,14,34,1896.501,2887.576,1090.087,780,27.854
575.86,0.01791312,14.52,40.834,1826,2919,1082,800.707,32
576.2,0.01862965,22,47,1751.501,2930.576,1056.087,848,27.854
576.54,0.01791312,9.52,40.834,1729,2984,1057,871.707,34
576.87,0.01791312,11,42,1679.501,3031.576,1076.087,913,29.854
577.21,0.0171966,12.52,40.834,1653,3112,1069,961.707,33
577.55,0.0171966,7,36,1635.501,3160.576,1083.087,1009,23.854
577.88,0.0171966,7.52,37.834,1590,3191,1065,1049.707,34
578.22,0.01648007,11,41,1539.501,3201.576,1052.087,1088,31.854
578.56,0.01648007,11.52,31.834,1490,3261,1038,1138.707,34
578.9,0.01576355,8,33,1458.501,3351.576,1051.087,1191,39.854
579.23,0.01648007,11.52,32.834,1421,3377,1039,1230.707,35
579.57,0.01648007,14,36,1398.501,3400.576,1042.087,1284,34.854
579.91,0.01576355,15.52,32.834,1372,3423,1024,1326.707,39
580.24,0.01576355,12,31,1322.501,3469.576,1011.087,1392,39.854
580.58,0.01576355,9.52,40.834,1296,3509,1012,1442.707,44
580.92,0.01504702,11,37,1262.501,3497.576,1022.087,1486,46.854
581.25,0.01504702,12.52,39.834,1246,3536,1001,1562.707,41
581.59,0.01504702,11,33,1218.501,3586.576,1021.087,1636,43.854
581.93,0.0143305,11.52,28.834,1183,3562,1011,1697.707,46
582.26,0.01504702,12,33,1140.501,3589.576,988.087,1745,51.854
582.6,0.0143305,14.52,29.834,1135,3616,1015,1820.707,52
582.94,0.0143305,10,24,1096.501,3589.576,987.087,1839,44.854
583.27,0.0143305,14.52,31.834,1068,3605,996,1933.707,50
583.61,0.01361397,8,29,1057.501,3603.576,992.087,2008,48.854
583.95,0.0143305,7.52,28.834,1013,3611,975,2060.707,54
584.28,0.01361397,13,33,988.501,3602.576,985.087,2148.001,59.854
584.62,0.01289745,12.52,30.834,976,3619,978,2214.707,61
584.95,0.01361397,16,32,931.501,3582.576,981.087,2260.001,59.854
585.29,0.01289745,12.52,29.834,910,3491,976,2314.707,65
585.63,0.01289745,10,29,901.501,3484.576,946.087,2393.001,64.854
585.96,0.01289745,15.52,26.834,863,3523,966,2450.707,67
586.3,0.01289745,9,24,831.501,3481.576,953.087,2474.001,71.854
586.64,0.01289745,5.52,26.834,809,3430,952,2550.707,73
586.97,0.01218092,11,30,782.501,3423.576,942.087,2585.001,78.854
587.31,0.01218092,9.52,30.834,769,3399,935,2634.707,83
587.64,0.01218092,12,25,754.501,3364.576,945.087,2671.001,80.854
587.98,0.01218092,17.52,23.834,733,3320,943,2690.707,73
588.31,0.01218092,8,23,694.501,3266.576,948.087,2692.001,83.854
588.65,0.0114644,9.52,24.834,681,3212,926,2687.707,88
588.99,0.0114644,10,30,653.501,3180.576,904.087,2687.001,94.854
589.32,0.0114644,10.52,27.834,634,3182,931,2760.707,98
589.66,0.0114644,17,25,611.501,3121.576,907.087,2718.001,96.854
589.99,0.0114644,16.52,24.834,572,3063,913,2666.707,107
590.33,0.0114644,13,27,563.501,3041.576,890.087,2626.001,110.854
590.66,0.01074787,17.52,26.834,530,2956,912,2609.707,120
591,0.01074787,11,25,509.501,2929.576,898.087,2598.001,123.854
591.34,0.01074787,7.52,19.834,512,2987,907,2551.707,128
591.67,0.01074787,8,26,503.501,2929.576,886.087,2495.001,127.854
592.01,0.01074787,10.52,23.834,483,2834,886,2420.707,142
592.34,0.01074787,7,24,467.501,2848.576,894.087,2350.001,139.854
592.68,0.01003135,11.52,28.834,429,2780,868,2301.707,143
593.01,0.01074787,16,21,418.501,2752.576,879.087,2216.001,150.854
593.35,0.01003135,15.52,21.834,410,2720,879,2153.707,151
593.68,0.01003135,19,28,400.501,2712.576,868.087,2084.001,162.854
594.02,0.01003135,15.52,23.834,368,2661,852,2008.707,159
594.35,0.01003135,7,22,359.501,2604.576,871.087,1945,162.854
594.69,0.01003135,7.52,23.834,354,2604,868,1869.707,178
595.02,0.01003135,10,29,328.501,2565.576,854.087,1831,180.854
595.36,0.00931482,10.52,21.834,329,2550,848,1753.707,195
595.69,0.00931482,7,25,322.501,2500.576,854.087,1729,200.854
596.03,0.00931482,14.52,27.834,305,2441,846,1652.707,205
596.36,0.00931482,6,26,287.501,2421.576,849.087,1585,202.854
596.7,0.00931482,5.52,24.834,274,2391,824,1545.707,226
597.03,0.00931482,9,21,274.501,2360.576,816.087,1507,231.854
597.37,0.00931482,8.52,15.834,254,2324,807,1479.707,243
597.7,0.00931482,12,22,245.501,2330.576,830.087,1450,245.854
598.04,0.0085983,14.52,23.834,242,2272,823,1438.707,263
598.37,0.00931482,9,13,227.501,2244.576,820.087,1427,282.854
598.7,0.0085983,11.52,12.834,216,2190,823,1389.707,290
599.04,0.0085983,19,23,205.501,2164.576,796.087,1363,290.854
599.37,0.0085983,7.52,18.834,202,2142,799,1342.707,294
599.71,0.0085983,7,21,194.501,2098.576,807.087,1313,315.854
600.04,0.0085983,11.52,19.834,194,2076,794,1314.707,321
600.38,0.0085983,12,22,195.501,2046.576,807.087,1312,337.854
600.71,0.0085983,7.52,15.834,183,2014,790,1294.707,357
601.05,0.0085983,13,16,175.501,1996.576,793.087,1268,361.854
601.38,0.00788177,12.52,16.834,168,1952,778,1265.707,387
601.71,0.00788177,13,20,164.501,1921.576,784.087,1270,377.854
602.05,0.0085983,18.52,16.834,159,1881,769,1261.707,391
602.38,0.00788177,8,18,161.501,1878.576,762.087,1240,419.854
602.72,0.00788177,12.52,12.834,141,1818,756,1239.707,429
603.05,0.00788177,8,17,145.501,1792.576,743.087,1213,436.854
603.38,0.00788177,7.52,21.834,139,1762,754,1190.707,470
603.72,0.00788177,8,20,138.501,1724.576,757.087,1190,497.854
604.05,0.00788177,8.52,17.834,134,1695,747,1167.707,509
604.39,0.00716525,11,21,137.501,1680.576,740.087,1143,539.854
604.72,0.00788177,8.52,16.834,122,1657,732,1108.707,561
605.05,0.00716525,8,15,116.501,1595.576,724.087,1085,577.854
605.39,0.00788177,8.52,15.834,117,1610,710,1074.707,603
605.72,0.00716525,14,16,124.501,1569.576,726.087,1053,599.854
606.05,0.00716525,12.52,10.834,122,1549,722,1005.707,648
606.39,0.00716525,9,15,114.501,1537.576,706.087,986,674.854
606.72,0.00716525,5.52,8.834,112,1505,709,940.707,695
607.05,0.00716525,6,16,101.501,1481.576,704.087,907,711.854
607.39,0.00716525,10.52,16.834,106,1440,710,869.707,739
607.72,0.00716525,9,13,104.501,1439.576,714.087,860,771.854
608.05,0.00716525,6.52,15.834,98,1408,697,817.707,792
608.39,0.00716525,16,14,102.501,1377.576,710.087,801,839.854
608.72,0.00644872,10.52,10.834,104,1351,684,759.707,882
609.05,0.00644872,11,15,102.501,1337.576,698.087,730,897.854
609.39,0.00644872,8.52,12.834,101,1303,669,685.707,930
609.72,0.00716525,16,14,102.501,1280.576,678.087,668,970.854
610.05,0.00644872,11.52,15.834,95,1283,671,635.707,1008
610.39,0.00644872,20,18,103.501,1249.576,672.087,604,1049.854
610.72,0.00644872,8.52,21.834,93,1215,667,577.707,1120
611.05,0.00716525,9,18,99.501,1195.576,660.087,551,1152.854
611.39,0.00644872,13.52,14.834,101,1207,663,534.707,1183
611.72,0.00644872,12,19,104.501,1161.576,647.087,500,1219.854
612.05,0.00644872,5.52,13.834,96,1133,643,489.707,1275
612.38,0.00644872,15,19,97.501,1133.576,651.087,458,1301.854
612.72,0.00644872,16.52,19.834,93,1109,652,439.707,1357
613.05,0.00644872,14,21,86.501,1062.576,634.087,415,1369.854
613.38,0.0057322,13.52,19.834,93,1067,640,398.707,1417
613.71,0.00644872,14,13,87.501,1057.576,633.087,378,1473.854
614.05,0.00644872,16.52,13.834,85,1032,620,350.707,1493
614.38,0.00644872,15,21,79.501,1018.576,611.087,337,1551.854
614.71,0.00644872,12.52,21.834,80,992,614,317.707,1591
615.04,0.0057322,11,13,91.501,984.576,608.087,313,1641.854
615.38,0.00644872,9.52,24.834,88,967,598,287.707,1692
615.71,0.0057322,17,11,89.501,941.576,591.087,279,1738.854
616.04,0.0057322,13.52,9.834,81,934,587,265.707,1839
616.37,0.00644872,17,22,89.501,910.576,585.087,246,1896.854
616.71,0.0057322,11.52,12.834,84,901,587,227.707,2021
617.04,0.0057322,7,20,88.501,873.576,582.087,228,2070.854
617.37,0.0057322,8.52,21.834,82,868,572,213.707,2140
617.7,0.0057322,3,17,88.501,849.576,571.087,207,2229.854
618.03,0.0057322,16.52,16.834,80,834,557,200.707,2281
618.37,0.0057322,8,14,81.501,817.576,553.087,185,2350.854
618.7,0.0057322,13.52,10.834,76,795,548,177.707,2432
619.03,0.0057322,11,17,83.501,792.576,558.087,174,2474.854
619.36,0.00501567,9.52,10.834,69,780,553,161.707,2532
619.69,0.0057322,6,14,79.501,767.576,549.087,154,2596.854
620.03,0.0057322,13.52,14.834,70,750,560,160.707,2668
620.36,0.0057322,11,21,79.501,734.576,541.087,150,2706.854
620.69,0.0057322,14.52,21.834,70,711,540,145.707,2782
621.02,0.0057322,12,13,77.501,703.576,531.087,131,2814.854
621.35,0.00501567,8.52,17.834,71,695,528,121.707,2851
621.68,0.00501567,4,20,77.501,682.576,518.087,118,2984.854
622.02,0.0057322,8.52,3.834,66,672,528,107.707,3075
622.35,0.00501567,6,16,80.501,654.576,513.087,115,3156.854
622.68,0.00501567,6.52,11.834,79,651,508,110.707,3235
623.01,0.00501567,13,11,67.501,643.576,507.087,106,3341.854
623.34,0.00501567,13.52,12.834,74,630,505,102.707,3435
623.67,0.00501567,11,15,66.501,604.576,500.087,96,3496.854
624,0.00501567,15.52,16.834,66,596,499,81.707,3568
624.34,0.00501567,6,20,65.501,586.576,495.087,85,3621.854
624.67,0.00501567,8.52,9.834,78,573,489,85.707,3667
625,0.00501567,8,9,67.501,572.576,479.087,82,3687.854
625.33,0.00501567,7.52,13.834,65,573,474,79.707,3666
625.66,0.00501567,8,13,72.501,550.576,476.087,74,3579.854
625.99,0.00501567,7.52,5.834,65,541,479,64.707,3520
626.32,0.00501567,13,15,66.501,521.576,474.087,63,3393.854
626.65,0.00501567,11.52,21.834,69,527,463,60.707,3257
626.98,0.00501567,12,16,75.501,512.576,451.087,65,3076.854
627.32,0.00501567,9.52,11.834,63,487,456,59.707,2891
627.65,0.00501567,6,14,79.501,510.576,447.087,63,2712.854
627.98,0.00501567,8.52,11.834,61,491,446,49.707,2489
628.31,0.00501567,13,8,59.501,477.576,444.087,57,2300.854
628.64,0.00501567,13.52,20.834,60,473,431,45.707,2169
628.97,0.00501567,8,17,60.501,456.576,430.087,53,1996.854
629.3,0.00501567,14.52,20.834,65,451,428,48.707,1830
629.63,0.00501567,11,13,63.501,424.576,432.087,47,1696.854
629.96,0.00501567,13.52,12.834,59,431,412,47.707,1562
630.29,0.00501567,13,11,62.501,430.576,424.087,45,1456.854
630.62,0.00429915,11.52,12.834,61,423,435,46.707,1371
630.95,0.00501567,7,11,65.501,425.576,413.087,43,1275.854
631.28,0.00501567,10.52,15.834,59,412,405,41.707,1178
631.61,0.00501567,10,7,55.501,406.576,399.087,39,1107.854
631.94,0.00501567,12.52,15.834,53,390,406,41.707,1049
632.27,0.00501567,10,9,67.501,385.576,404.087,40,972.854
632.6,0.00501567,7.52,10.834,59,382,406,35.707,904
632.93,0.00501567,4,11,67.501,378.576,391.087,35,866.854
633.26,0.00501567,12.52,14.834,63,374,390,30.707,807
633.59,0.00501567,10,14,62.501,370.576,389.087,30,747.854
633.92,0.00429915,12.52,15.834,56,347,376,28.707,705
634.25,0.00501567,11,17,58.501,348.576,377.087,36,674.854
634.58,0.00429915,8.52,11.834,57,333,374,30.707,630
634.91,0.00501567,10,8,60.501,343.576,365.087,33,630.854
635.24,0.00429915,8.52,10.834,62,331,372,32.707,588
635.57,0.00429915,8,8,63.501,332.576,359.087,34,562.854
635.9,0.00429915,8.52,16.834,55,318,359,21.707,550
636.23,0.00429915,10,14,58.501,315.576,361.087,28,546.854
636.56,0.00429915,6.52,11.834,55,313,345,25.707,519
636.89,0.00501567,15,6,57.501,312.576,341.087,28,514.854
637.22,0.00501567,12.52,5.834,47,305,333,22.707,490
637.55,0.00429915,11,9,59.501,293.576,333.087,25,488.854
637.88,0.00501567,15.52,7.834,55,302,332,24.707,478
638.21,0.00429915,14,12,58.501,290.576,334.087,30,467.854
638.54,0.00429915,6.52,6.834,45,287,321,16.707,459
638.87,0.00501567,12,18,61.501,284.576,323.087,19,445.854
639.2,0.00501567,7.52,8.834,57,278,324,19.707,435
639.53,0.00429915,3,14,48.501,269.576,316.087,29,433.854
639.86,0.00429915,6.52,15.834,50,264,322,22.707,398
640.19,0.00501567,10,15,48.501,266.576,319.087,30,389.854
640.51,0.00429915,8.52,8.834,60,256,309,25.707,379
640.84,0.00429915,3,11,52.501,254.576,314.087,31,354.854
641.17,0.00429915,13.52,12.834,47,235,306,19.707,353
641.5,0.00429915,7,13,49.501,244.576,309.087,23,325.854
641.83,0.00429915,11.52,15.834,55,243,308,18.707,305
642.16,0.00429915,7,9,48.501,251.576,299.087,26,287.854
642.49,0.00429915,10.52,13.834,56,230,299,15.707,289
642.82,0.00501567,13,22,54.501,233.576,298.087,19,274.854
643.15,0.00429915,11.52,9.834,54,223,289,21.707,257
643.47,0.00429915,5,14,61.501,237.576,292.087,24,248.854
643.8,0.00429915,13.52,15.834,57,228,287,16.707,237
644.13,0.00429915,13,18,55.501,229.576,292.087,18,226.854
644.46,0.00429915,8.52,13.834,54,209,276,15.707,212
644.79,0.00429915,12,6,49.501,224.576,280.087,23,206.854
645.12,0.00429915,8.52,1.834,48,218,276,15.707,188
645.45,0.00501567,4,9,49.501,206.576,265.087,23,185.854
645.77,0.00501567,8.52,14.834,44,209,264,15.707,174
646.1,0.00501567,7,12,46.501,197.576,268.087,17,159.854
646.43,0.00429915,11.52,13.834,45,196,261,13.707,155
646.76,0.00429915,12,13,51.501,200.576,265.087,16,147.854
647.09,0.00429915,7.52,8.834,42,192,264,17.707,142
647.42,0.00501567,8,12,49.501,191.576,263.087,16,133.854
647.74,0.00429915,8.52,7.834,44,181,267,15.707,128
648.07,0.00429915,8,12,51.501,183.576,252.087,13,118.854
648.4,0.00429915,8.52,7.834,48,177,256,7.707,110
648.73,0.00429915,8,9,41.501,175.576,252.087,16,113.854
649.06,0.00429915,10.52,11.834,38,173,264,13.707,104
649.38,0.00429915,9,14,35.501,164.576,252.087,12,101.854
649.71,0.00429915,8.52,7.834,38,174,255,14.707,98
650.04,0.00429915,5,12,37.501,168.576,254.087,13,94.854
650.37,0.00429915,7.52,13.834,34,167,262,13.707,86
650.7,0.00429915,8,12,38.501,161.576,251.087,15,85.854
651.02,0.00429915,11.52,14.834,38,169,254,16.707,77
651.35,0.00429915,7,9,39.501,168.576,247.087,9,79.854
651.68,0.00429915,5.52,4.834,34,164,244,14.707,71
652.01,0.00429915,10,11,34.501,165.576,239.087,21,76.854
652.33,0.00429915,14.52,11.834,35,159,247,12.707,61
652.66,0.00429915,7,3,35.501,160.576,231.087,12,73.854
652.99,0.00429915,4.52,5.834,34,157,246,13.707,67
653.32,0.00429915,11,9,34.501,154.576,231.087,17,65.854
653.64,0.00429915,15.52,7.834,44,163,234,17.707,67
653.97,0.00429915,16,12,29.501,150.576,232.087,18,61.854
654.3,0.00429915,13.52,7.834,34,151,225,15.707,57
654.63,0.00429915,14,10,33.501,149.576,239.087,14,54.854
654.95,0.00429915,4.52,7.834,27,139,235,10.707,58
655.28,0.00429915,13,6,41.501,158.576,226.087,18,54.854
655.61,0.00429915,12.52,7.834,27,145,232,12.707,47
655.93,0.00429915,6,8,25.501,147.576,232.087,13,45.854
656.26,0.00429915,9.52,8.834,24,141,225,17.707,42
656.59,0.00429915,8,7,29.501,141.576,222.087,14,34.854
656.92,0.00429915,5.52,7.834,25,131,231,10.707,46
657.24,0.00429915,13,12,31.501,134.576,227.087,15,34.854
657.57,0.00429915,8.52,10.834,22,136,226,16.707,38
657.9,0.00429915,10,13,28.501,135.576,229.087,15,34.854
658.22,0.00429915,4.52,12.834,26,129,227,12.707,35
658.55,0.00429915,6,8,27.501,132.576,223.087,14,34.854
658.88,0.00429915,8.52,9.834,21,135,220,15.707,29
659.2,0.00429915,8,10,19.501,132.576,220.087,12,30.854
659.53,0.00429915,8.52,10.834,21,126,220,13.707,32
659.86,0.00429915,13,12,14.501,121.576,214.087,17,33.854
660.18,0.00429915,4.52,13.834,16,117,211,12.707,29
660.51,0.00429915,5,9,12.501,126.576,220.087,19,29.854
660.84,0.00429915,8.52,8.834,12,118,212,19.707,27
661.16,0.00429915,13,8,16.501,118.576,204.087,20,27.854
661.49,0.00429915,7.52,10.834,20,116,208,9.707,28
661.81,0.00429915,4,15,25.501,117.576,194.087,15,22.854
662.14,0.00429915,7.52,5.834,15,117,194,16.707,24
662.47,0.00429915,10,8,19.501,127.576,192.087,29,18.854
662.79,0.00429915,12.52,9.834,22,127,195,17.707,26
663.12,0.00429915,7,14,18.501,119.576,188.087,16,26.854
663.44,0.00429915,14.52,8.834,15,115,179,12.707,26
663.77,0.00429915,12,7,12.501,118.576,181.087,11,19.854
664.1,0.00429915,8.52,18.834,17,115,174,12.707,19
664.42,0.00358262,2,11,11.501,119.576,176.087,12,20.854
664.75,0.00429915,15.52,8.834,2,118,171,20.707,19
665.07,0.00429915,8,8,17.501,107.576,169.087,16,18.854
665.4,0.00429915,11.52,15.834,13,107,173,8.707,25
665.73,0.00429915,7,11,16.501,109.576,171.087,16,18.854
666.05,0.00429915,11.52,10.834,12,112,158,15.707,19
666.38,0.00429915,14,9,22.501,99.576,156.087,12,22.854
666.7,0.00429915,7.52,8.834,17,105,159,8.707,15
667.03,0.00429915,10,14,13.501,107.576,166.087,12,12.854
667.35,0.00429915,8.52,9.834,15,112,161,14.707,19
667.68,0.00429915,11,13,9.501,108.576,156.087,18,12.854
668.01,0.00429915,13.52,14.834,10,107,158,16.707,15
668.33,0.00429915,2,9,10.501,97.576,144.087,20,18.854
668.66,0.00429915,10.52,3.834,11,108,145,15.707,18
668.98,0.00429915,12,13,10.501,101.576,137.087,11,2.854
669.31,0.00429915,10.52,7.834,17,106,138,10.707,20
669.63,0.00429915,6,12,14.501,104.576,136.087,12,20.854
669.96,0.00429915,10.52,15.834,9,105,138,14.707,17
670.28,0.00429915,10,9,19.501,98.576,133.087,16,18.854
670.61,0.00429915,5.52,10.834,13,96,130,15.707,15
670.93,0.00429915,7,14,11.501,97.576,135.087,15,14.854
671.26,0.00429915,8.52,13.834,16,97,135,16.707,18
671.58,0.00429915,8,20,14.501,97.576,130.087,11,17.854
671.91,0.00429915,7.52,11.834,12,95,131,8.707,6
672.23,0.00429915,8,14,14.501,96.576,121.087,14,16.854
672.56,0.00429915,11.52,11.834,10,96,124,9.707,20
672.88,0.00358262,3,4,11.501,91.576,114.087,7,13.854
673.21,0.00429915,9.52,3.834,13,94,115,12.707,18
673.53,0.00429915,4,7,13.501,89.576,117.087,14,13.854
673.86,0.00429915,7.52,11.834,10,85,116,15.707,21
674.18,0.00429915,12,3,14.501,91.576,120.087,9,14.854
674.5,0.00429915,15.52,11.834,15,82,118,9.707,14
674.83,0.00429915,8,11,17.501,86.576,124.087,12,14.854
675.15,0.00429915,14.52,8.834,13,89,112,16.707,19
675.48,0.00429915,15,10,19.501,90.576,109.087,7,13.854
675.8,0.00429915,13.52,8.834,22,85,108,14.707,15
676.13,0.00429915,13,11,13.501,81.576,106.087,17,9.854
676.45,0.00358262,10.52,11.834,12,91,111,9.707,16
676.78,0.00429915,7,17,16.501,97.576,106.087,15,18.854
677.1,0.00429915,11.52,14.834,7,91,103,18.707,13
677.42,0.00429915,11,16,13.501,82.576,103.087,7,15.854
677.75,0.00429915,11.52,6.834,12,94,103,4.707,18
678.07,0.00429915,9,4,14.501,82.576,92.087,18,15.854
678.4,0.00429915,19.52,6.834,8,84,103,11.707,16
678.72,0.00429915,11,9,11.501,82.576,103.087,17,12.854
679.04,0.00429915,11.52,12.834,7,76,95,9.707,13
679.37,0.00429915,10,15,18.501,82.576,98.087,7,17.854
679.69,0.00429915,7.52,11.834,13,74,96,14.707,16
680.02,0.00429915,4,7,9.501,71.576,95.087,10,12.854
680.34,0.00429915,5.52,12.834,5,79,95,7.707,15
680.66,0.00358262,10,10,11.501,73.576,92.087,12,10.854
680.99,0.00429915,8.52,14.834,13,70,103,13.707,9
681.31,0.00429915,11,6,10.501,81.576,92.087,16,15.854
681.63,0.00429915,10.52,8.834,17,68,85,10.707,16
681.96,0.00429915,5,9,10.501,84.576,83.087,14,7.854
682.28,0.00501567,11.52,7.834,10,82,95,11.707,12
682.6,0.00429915,11,8,16.501,75.576,92.087,13,19.854
682.93,0.00429915,14.52,14.834,19,75,92,12.707,11
683.25,0.00429915,8,9,14.501,80.576,85.087,10,8.854
683.57,0.00429915,8.52,13.834,10,72,89,12.707,8
683.9,0.00429915,5,12,18.501,72.576,80.087,11,13.854
684.22,0.00429915,13.52,13.834,12,76,81,9.707,13
684.54,0.00429915,14,15,15.501,83.576,77.087,15,13.854
684.87,0.00358262,8.52,13.834,9,70,78,10.707,10
685.19,0.00429915,6,12,16.501,75.576,75.087,8,9.854
685.51,0.00429915,9.52,11.834,7,63,86,12.707,16
685.84,0.00429915,7,8,7.501,71.576,79.087,17,8.854
686.16,0.00429915,6.52,8.834,17,71,71,15.707,10
686.48,0.00429915,15,7,20.501,62.576,81.087,7,15.854
686.8,0.00429915,14.52,10.834,19,64,73,8.707,12
687.13,0.00429915,14,13,21.501,64.576,73.087,7,15.854
687.45,0.00429915,6.52,11.834,10,73,70,10.707,11
687.77,0.00429915,9,19,13.501,68.576,74.087,15,11.854
688.1,0.00429915,10.52,14.834,18,67,71,11.707,21
688.42,0.00358262,5,6,20.501,76.576,62.087,15,13.854
688.74,0.00429915,4.52,8.834,28,68,62,10.707,9
689.06,0.00429915,7,13,14.501,65.576,70.087,10,8.854
689.39,0.00429915,8.52,8.834,15,64,73,14.707,10
689.71,0.00429915,10,12,16.501,63.576,59.087,7,16.854
690.03,0.00429915,5.52,1.834,16,57,69,18.707,14
690.35,0.00429915,12,13,25.501,57.576,65.087,10,12.854
690.68,0.00429915,15.52,10.834,20,57,64,9.707,11
691,0.00358262,12,9,23.501,63.576,63.087,14,9.854
691.32,0.00429915,11.52,7.834,22,64,67,13.707,11
691.64,0.00358262,7,14,26.501,70.576,59.087,16,8.854
691.96,0.00429915,3.52,7.834,22,58,64,9.707,11
692.29,0.00429915,0,12,35.501,60.576,67.087,11,14.854
692.61,0.00358262,7.52,3.834,26,54,59,7.707,18
692.93,0.00429915,6,12,28.501,60.576,60.087,12,13.854
693.25,0.00429915,8.52,13.834,34,60,59,7.707,19
